"","year","ID_game","numberGame","ID_team","isB2B","isB2BFirst","isB2BSecond","homeAway","name","countDaysRest","countDaysNextGame","outcomeGame","isWin","fieldgoal_made","fieldgoal_attempts","fieldgoal_percent","fieldgoal3_made","fieldgoal3_attempts","fieldgoal3_percent","freethrow_percent","fieldgoal2_made","fieldgoal2_attempts","pctFG2","minutes","freethrow_made","freethrow_attempts","off_reb","def_reb","total_reb","assists","steals","blocks","turnovers","personalfouls","points","plusminus","ind_Win","ind_SecondB2B","ind_overtime","offensive_rating","defensive_rating","RAPTOR_offensive","RAPTOR_defensive","RAPTOR_net"
"165",2018,21700084,5,1610612746,FALSE,FALSE,FALSE,"H","LAC",1,1,"L",FALSE,28,84,0.333,15,38,0.394736842105263,0.727,13,46,0.282608695652174,240,16,22,15,36,51,19,6,6,19,18,87,-8,0,0,0,110.3,110.2,1.7,-1.6,0
"166",2018,21700084,6,1610612765,TRUE,FALSE,FALSE,"A","DET",2,0,"W",TRUE,36,88,0.409,9,28,0.321428571428571,0.667,27,60,0.45,240,14,21,12,38,50,16,11,6,13,20,95,8,1,0,0,107.2,107.3,-1.5,1.3,-0.2
"167",2018,21700077,6,1610612739,TRUE,FALSE,FALSE,"A","CLE",2,0,"L",FALSE,36,78,0.462,12,32,0.375,0.739,24,46,0.521739130434783,240,17,23,5,32,37,19,8,2,18,19,101,-22,0,0,0,112.9,111.9,4.2,-3.3,1
"168",2018,21700080,7,1610612745,TRUE,FALSE,TRUE,"A","HOU",0,1,"L",FALSE,29,77,0.377,14,38,0.368421052631579,0.81,15,39,0.384615384615385,240,17,21,8,35,43,18,4,3,19,23,89,-14,0,1,0,114.7,106.1,6.1,2.5,8.7
"169",2018,21700086,6,1610612759,TRUE,FALSE,FALSE,"A","SAS",1,0,"L",FALSE,36,90,0.4,9,28,0.321428571428571,0.722,27,62,0.435483870967742,240,13,18,12,32,44,19,12,8,17,11,94,-3,0,0,0,107.9,104.8,-0.7,3.8,3
"170",2018,21700086,6,1610612754,FALSE,TRUE,FALSE,"H","IND",3,1,"W",TRUE,36,77,0.468,10,22,0.454545454545455,0.75,26,55,0.472727272727273,240,15,20,6,38,44,21,9,3,19,20,97,3,1,0,0,109.5,108.1,0.9,0.5,1.4
"171",2018,21700091,7,1610612765,TRUE,FALSE,TRUE,"A","DET",0,1,"W",TRUE,43,93,0.462,12,27,0.444444444444444,1,31,66,0.46969696969697,240,17,17,17,20,37,22,16,0,14,9,115,8,1,1,0,107.2,107.3,-1.5,1.3,-0.2
"172",2018,21700091,7,1610612744,TRUE,FALSE,FALSE,"H","GSW",1,0,"L",FALSE,44,77,0.571,10,27,0.37037037037037,0.75,34,50,0.68,240,9,12,10,30,40,29,3,11,26,14,107,-8,0,0,0,113.6,107.6,5,1,6
"173",2018,21700088,6,1610612766,TRUE,FALSE,FALSE,"H","CHA",1,0,"W",TRUE,53,97,0.546,6,18,0.333333333333333,0.471,47,79,0.594936708860759,240,8,17,12,47,59,31,6,7,17,24,120,7,1,0,0,109.4,109.1,0.8,-0.5,0.3
"174",2018,21700088,6,1610612753,TRUE,FALSE,FALSE,"A","ORL",1,0,"L",FALSE,41,97,0.423,11,33,0.333333333333333,0.769,30,64,0.46875,240,20,26,9,30,39,28,11,4,11,20,113,-7,0,0,0,105.2,110.1,-3.4,-1.5,-4.9
